,X1,X2,X3,X4
0,267.561668759,219.332308113,371.138063714,517.901284797
1,456.141698175,281.001974146,408.901780421,739.241685073
2,282.966623856,318.950146246,314.291048695,415.934527127
3,505.382534327,151.902235833,201.990650725,482.159210041
4,465.601058771,166.521888328,484.625613201,665.896282908
5,334.70367862,478.367913706,230.737781993,513.210508325
6,202.837660438,403.389655118,502.205992393,320.291501362
7,355.458152187,51.2595636688,514.896498647,837.914565038
8,226.012378076,401.895803657,204.280151847,639.354705328
9,251.87964398,230.683974162,369.778455859,677.062155581
10,338.084232271,295.35326789,217.067640437,646.404286329
11,359.302130377,145.175962721,394.349516919,399.854295358
12,332.857082601,279.413538374,229.931991978,332.864147469
13,329.461599875,127.529027638,382.222047691,325.362997115
14,316.087539521,333.830415297,281.335170599,441.40723028
15,135.809063668,41.8765566498,201.14884541,217.071110884
16,208.38182526,30.3018325775,164.356207349,445.671749122
17,434.851615521,92.3677497525,323.507369463,356.106172702
18,392.596804469,435.727276889,527.365509854,621.161164355
19,328.582364145,203.709422301,445.239193001,428.471694341
20,306.38210506,63.8527781752,265.141087039,579.601457098
21,293.10190946,159.842789767,784.614095696,705.273435041
22,256.812836136,228.236979253,486.325768101,372.367608632
23,240.33129221,152.370309821,223.466436518,699.558928716
24,185.127057795,83.9591269921,313.855420483,493.164044708
25,221.465421009,308.986348134,534.681877489,583.538239736
26,140.913939426,61.3064485462,261.707167416,427.159648827
27,309.909050778,385.799047296,410.119912096,406.413365168
28,102.869801567,84.9966605409,193.717914408,438.592627332
29,153.654506063,127.648920216,396.145182189,421.882689363
30,180.581194407,216.42448965,107.404571026,478.378965447
31,141.38409665,59.3215257174,328.603774428,625.449613136
32,315.108416011,124.219770982,531.246188924,665.736473622
33,147.852342208,287.111701981,277.953104811,493.655908749
34,404.106654787,367.043666233,265.135590902,462.223968732
35,283.8251759,110.497743219,313.201711764,247.069575736
36,143.47721742,222.512676837,415.844174162,301.467845734
37,429.294663664,137.893033779,299.066694338,656.30608344
38,215.829423045,192.629596159,403.98556707,626.801953286
39,140.930210995,106.554446204,366.850190842,688.898858811
40,298.313916687,226.071617685,571.262610477,867.074617187
41,400.208610313,212.408739795,443.2511701,655.769702344
42,268.825175674,129.289869431,558.359563976,722.165441756
43,200.408581033,101.476196896,246.481837008,513.109925493
44,211.227694724,87.5453516298,393.115459164,665.614268202
45,174.999760132,191.159298318,165.833393328,643.01085122
46,80.6788517334,48.5018578109,348.731477759,284.055629374
47,144.149002265,169.456578794,298.260161705,222.912975529
48,144.30824587,84.2423814271,802.194617294,455.053355123
49,146.583810977,202.255410878,622.939032666,537.636517599
50,111.097541613,3.71321578538,316.33482131,639.963854028
51,237.023660609,143.40856091,422.017854838,593.743491501
52,202.278532208,54.0983777812,193.910495163,697.125640014
53,186.155454508,114.033505656,166.365134619,465.428258388
54,214.904393352,88.9584812315,210.889640122,638.162566095
55,452.783658439,330.927815855,340.517769119,653.226423854
56,142.819957593,9.40517664116,315.96703784,556.68370337
57,112.908546876,197.781434402,276.417459188,337.273504702
58,497.266068835,25.4369680454,195.135260583,323.963737507
59,407.312939696,360.996281225,277.04191419,440.566369199
60,132.396048221,216.943075166,158.397743752,252.351934119
61,300.088343671,392.384522305,459.348772193,861.359127779
62,197.208532123,175.532862997,221.832990284,457.502201248
63,144.484340555,47.1352461475,259.01775383,393.132976802
64,142.60302704,78.3446053452,774.486257334,344.936049377
65,86.8329044763,51.1201220922,383.547035977,763.375051969
66,150.043557609,206.994607069,342.474337073,511.293015281
67,294.392133973,244.050358272,223.583194196,401.161750381
68,180.251704938,226.418266776,153.496166766,660.321581286
69,178.513871818,133.724886748,544.085171222,495.234920289
70,167.965803213,218.505315976,123.936473601,438.038224369
71,258.627288177,142.979087178,193.086962247,505.151631536
72,127.396106954,36.4551381094,350.689783909,408.147784596
73,162.448580776,122.031722899,138.873198811,470.550328667
74,482.279165673,367.820150134,191.559789183,352.282110575
75,294.757195346,12.5606266416,240.236548039,717.001479655
76,107.539552365,68.1014589628,279.935439623,804.060035618
77,86.9132082023,74.851611557,216.854429984,141.637831031
78,93.1910830156,154.812273658,295.429600846,662.062116872
79,67.576090131,49.490255713,392.625272218,511.56768727
80,107.919733191,32.9028345791,287.208478983,446.360734367
81,157.052247605,232.750006462,310.238830688,626.131139275
82,258.351026674,152.067610797,171.487878555,346.875506052
83,71.8178797901,36.209903122,275.12957116,375.820592294
84,76.7701788447,16.9856787471,549.424581514,517.307281836
85,221.861989197,398.112919189,329.249493311,323.598242091
86,296.829185983,205.822391276,508.937100599,524.068702203
87,146.353206051,64.3437137983,707.676608183,353.894820064
88,449.186986928,278.21531528,595.071118603,305.56826865
89,95.4595804474,16.0874365521,534.315599187,757.155293377
90,167.559645278,76.1346132254,898.896001658,522.006517772
91,415.120118349,322.721201557,445.824251442,426.293440388
92,76.6200554376,125.045719872,416.97205805,553.772459721
93,115.722242166,102.723512422,351.854332495,528.911455136
94,186.598247965,234.064189768,134.33352313,698.870417184
95,325.70627424,409.371422919,419.013481917,276.548988057
96,210.0960491,164.583134622,236.678997245,261.851782671
97,239.294846531,33.9012833662,760.44912383,659.486506034
98,94.7235531731,124.149418988,280.197264468,537.543244413
99,112.307114163,39.0622606516,723.722645773,529.014836389
100,218.118002996,90.3167042843,229.410106419,742.550819066
101,240.650357502,222.932719014,379.701630706,436.270168073
102,294.987634884,122.583923634,321.065056891,415.273846027
103,161.587887266,169.254863597,297.340189189,847.772377437
104,535.921708253,431.645977583,176.868638343,452.125119556
105,247.744838324,233.156464491,532.935848961,432.156984385
106,324.548795151,124.654138892,332.985054174,286.477891167
107,168.34028483,172.416535614,370.492759258,493.696201927
108,109.240524371,28.2079438052,298.586162757,572.931052187
109,270.528857242,213.834200221,729.629069675,289.266500635
110,95.7814021177,67.6968194631,217.81403759,507.300922336
111,170.653720735,38.8980467968,406.563131374,615.652133158
112,128.128189828,67.2961864532,262.075561548,522.316466069
113,195.263558275,19.6827050209,315.892505043,415.665439425
114,268.112762251,224.195487908,348.126053552,782.232449859
115,334.626231337,37.9788754908,372.435977645,725.684415294
116,103.698016753,30.9682381688,504.951857006,718.82521581
117,312.979376097,247.220528526,288.738957625,429.261325422
118,269.118630747,23.5132484498,601.191623188,817.154151852
119,227.358900293,26.8648811342,397.478956266,524.992070863
120,182.882301621,47.3834806841,283.541280198,632.111096859
121,105.508307933,89.8683573085,660.278913704,342.366535304
122,120.06336714,74.7470627808,271.984181242,651.844760551
123,353.310670592,416.737335197,300.996874646,587.888698187
124,207.175886459,353.190856333,285.451577104,799.00011867
125,97.2836680597,37.5770160349,421.891516347,524.423355301
126,203.218640146,176.892760178,352.609899161,455.426419185
127,359.759177869,257.883061478,491.086186028,455.07192538
128,556.888930341,531.355050128,301.986560469,573.236248959
129,285.137427901,203.250284571,576.94733517,671.941964701
130,75.7212166552,120.580079401,703.22961741,644.419842965
131,183.381726182,183.825367191,263.168123504,418.3855284
132,153.457544545,155.454996665,409.891724308,516.02523381
133,281.155787465,207.9068132,239.549107294,528.385534574
134,112.464712268,177.100495548,171.142690854,455.611421917
135,205.854012293,146.198170677,664.379819689,325.551559809
136,216.89616999,152.017413438,266.186975979,370.59363584
137,186.459245933,57.4663330273,271.052545817,427.8558056
138,321.578827752,80.41554398,397.441798898,638.597933988
139,170.41626307,197.625909431,248.829279878,269.794396604
140,142.128184861,7.58353177445,270.471244584,447.732071653
141,194.917025188,115.815178598,766.594584147,540.719770887
142,259.219356981,228.641710255,214.194287558,713.358834431
143,174.650773284,5.9320351323,360.476703397,745.779900939
144,296.320013276,280.327061585,580.209541743,520.17044951
145,42.8860969159,62.5843862207,403.215470896,534.756669399
146,168.558695564,283.828314425,395.629938713,522.451152694
147,187.773198646,74.8166946002,660.156933371,312.787229586
148,127.044972418,114.546802041,231.927271468,484.610492048
149,139.924562965,10.0722684458,180.121549496,631.210133058
150,240.057293076,259.486716163,203.328144358,340.960697793
151,118.478755787,34.3364615538,364.19696211,290.077934797
152,78.8454480541,17.0223625867,269.570990082,347.802515336
153,116.248034043,51.1873487535,548.128465212,561.431099054
154,210.103133941,236.954801582,237.373992153,398.203994887
155,134.122276792,129.042594755,601.019378001,488.08107501
156,219.24758178,63.4877557251,224.490525079,400.70779505
157,225.586599887,32.5115938119,494.385247297,319.855340382
158,133.018603133,59.43561167,436.575133591,338.339573301
159,272.573813047,6.98078360731,558.459767025,284.608109087
160,219.077847742,60.1594764618,317.637187744,374.706937331
161,289.940315514,52.2047015028,204.202239118,618.347563585
162,161.610541421,85.2265944516,242.592237744,373.179556406
163,184.228418077,223.424257492,361.78419788,743.086486631
164,410.041109967,664.763806336,294.255581069,731.242136056
165,198.271706794,275.48756177,139.493234143,752.681474679
166,258.248816614,93.0363061404,571.120839395,255.10015623
167,107.977715847,3.38005791555,682.071327044,264.531391302
168,132.844461681,176.186329352,243.785747259,435.3316753
169,146.184132904,12.9896987032,562.239479256,701.558328086
170,351.043733918,169.925632937,581.935005139,313.908348809
171,156.981374582,278.711364966,250.566316309,470.874526821
172,127.803647127,63.6759936005,747.870575169,699.532838998
173,69.5738448112,50.7062054216,426.416171162,575.294182837
174,113.952535836,143.762153374,356.932587139,856.500022112
175,67.309831018,20.3978442784,240.662271819,533.669297313
176,214.643406442,174.002725827,538.770596406,727.370601315
177,180.207629863,122.079092058,515.421083221,509.535468488
178,148.617862972,144.471019096,717.218939506,725.75081705
179,201.255884064,186.985594506,414.326079145,670.567480756
180,240.45376973,179.866176835,289.398402994,459.193481994
181,269.06882272,289.783821488,153.28420994,628.620280953
182,78.902229994,4.88129374181,235.2569763,437.580714042
183,170.888247303,334.261458647,523.565316669,320.822880133
184,55.746963484,29.5923456097,198.823354259,471.5653732
185,466.200955602,272.180777561,223.646975304,558.400841248
186,257.139903754,150.870518013,396.733172893,527.03804999
187,87.4782249019,47.3201099255,436.094925232,643.149216776
188,380.516772073,529.166929084,433.232387214,488.73121411
189,231.013066916,139.591115183,281.272742722,422.354782354
190,126.759857219,96.5788314459,410.11893947,647.516670676
191,207.0794118,66.8659157298,352.038882695,551.744142596
192,290.050524129,87.283645299,221.817782318,501.146820953
193,98.5703473586,81.1217022183,659.01844645,493.863730648
194,75.1691959004,18.2037281174,685.403671308,376.61295901
195,240.072660567,203.821250157,229.353113945,848.240595813
196,282.558305468,136.002592914,329.856851832,483.18627009
197,277.477905812,195.750523083,374.742964111,278.297959417
198,170.622027054,25.1923848666,414.361235053,501.544996466
199,234.69386989,209.894242861,197.38601875,269.169174821
200,523.830561339,329.616552276,393.293217899,490.779487086
201,271.301356355,65.384824007,254.153087045,345.981863717
202,394.576243484,339.494883235,440.210091597,461.617663652
203,565.700191936,480.754892907,552.164732197,347.818834209
204,152.735387115,177.826096146,474.820517637,549.477985807
205,248.662847355,383.153956457,179.914827931,483.804246877
206,78.4000774332,11.8112899555,259.133737024,286.923202498
207,230.605999015,108.244877069,310.324209264,273.463677232
208,200.722979834,115.750975965,220.585441401,529.780131374
209,279.964995691,352.935361124,241.484946026,394.765439241
210,228.510149397,112.744819477,559.781062917,695.292368239
211,384.678345574,293.349645458,357.3079642,234.196263596
212,109.646594116,31.4160769091,410.234883389,372.495101833
213,191.072722513,241.606271773,382.578358338,632.542650682
214,152.758747289,207.396403227,217.305975572,622.798232806
215,180.541849147,97.0755310282,253.715320658,329.566020275
216,102.798812393,11.4174268694,262.003274574,742.249822673
217,281.075172468,426.772924869,188.853679239,750.661602706
218,227.924514384,119.705495063,524.444555953,219.891604973
219,116.353587585,74.4803202113,363.306376968,654.492635381
220,504.421280821,326.742765795,306.270393558,591.130653231
