,X1,X2,X3,X4
0,362.260685926,345.709835707,286.599094742,578.188467009
1,249.790538696,115.85277926,193.191746291,551.726871774
2,155.011672278,180.836752643,191.386706161,671.616727847
3,317.269003935,242.088947841,751.591194479,304.135800858
4,336.496725718,322.29587113,441.049592297,570.005695282
5,217.137055532,104.965315663,432.071259016,361.68769413
6,236.571957391,203.087269506,195.526708571,492.381655837
7,165.425178322,8.31195271569,328.081093167,658.711285311
8,168.731527383,106.131333303,318.530166276,1048.75584151
9,219.212674124,169.940670854,580.824549721,642.643059985
10,147.070732897,56.1637935968,294.843194229,597.535607173
11,206.719910264,120.475219102,201.910672545,694.309177469
12,221.662742547,137.347109711,122.229126363,524.235993089
13,277.121593321,373.156271511,665.672962665,590.186273123
14,43.7520463087,67.3023098659,546.007571282,597.058499594
15,309.176024699,186.937203531,349.056264501,432.803327379
16,212.092251388,172.625026642,198.88468123,476.421124966
17,145.492018092,38.9779025928,173.69344904,491.315890941
18,164.532515644,239.62124582,143.142842585,516.40626491
19,437.024559652,292.555348387,261.205312483,671.230434188
20,119.409975298,123.555229554,572.05803683,634.256758781
21,143.054412308,109.080906408,641.842355045,338.669581405
22,150.106927972,79.1432601695,525.822467923,560.607060174
23,273.398611566,243.268771849,518.279819399,479.488129806
24,535.234772503,391.321077288,286.291661425,495.397123924
25,78.6842307725,68.8596721561,380.116001431,504.24141481
26,277.39474547,340.526264894,364.676687063,393.059689435
27,266.500224608,441.183873816,544.401705745,382.098725844
28,224.343334601,355.321920284,442.091928895,588.109732792
29,133.354472602,101.261775589,672.715931106,566.131856204
30,114.099201158,124.856596165,429.674196451,292.753494029
31,301.707712027,190.822446374,293.840019746,617.506991535
32,171.339203568,44.090273068,461.594365189,643.060885549
33,338.571652838,128.632061399,388.331508684,494.489004031
34,159.497340365,92.1836673359,827.352485448,440.732210622
35,183.338956303,89.1328860214,242.713168657,696.619691495
36,351.257898172,149.289243428,579.910487518,508.134156762
