,X1-X2,X1-X3,X1-X4,X2-X3,X2-X4,X3-X4
0,197.596737778,126.987203484,206.168083674,157.96819186,192.729489003,142.234230222
1,144.509837476,101.690646398,231.162121795,102.933888656,246.964047579,127.363139296
2,115.890759192,92.9659066082,236.915255505,83.3574268349,302.80777163,160.434683258
3,152.387662066,417.405052823,253.341684622,445.420455716,230.065037014,129.742471903
4,193.968060122,220.544002945,303.814952549,238.122199447,353.523310902,187.82748108
5,107.041139136,215.754802465,207.76627402,245.116376338,192.524668166,120.17426584
6,140.606995333,110.131954564,163.933578733,146.306252923,177.448749369,171.858478268
7,70.2751240319,144.05427967,229.148264207,178.945931287,266.173606522,201.145719043
8,92.0353785728,174.841756261,502.190190282,214.64967434,514.56629749,276.353506863
9,119.570549522,280.628397467,329.388106043,279.066442964,386.740676643,135.19730313
10,94.4520205836,178.382504044,279.776190267,202.352128556,251.771565235,178.047112819
11,112.75631469,138.667311337,194.94733694,157.515901583,281.945657328,188.336860037
12,120.90695048,69.9020979218,270.121804984,68.2937954129,276.105760829,143.453634381
13,151.15723272,278.219431826,284.555035306,311.962367074,294.332524893,260.47364924
14,25.080975115,232.941590366,218.776193564,318.693790714,251.919581803,169.794394947
15,168.641468017,205.928744581,273.431475364,240.697404936,243.694222558,177.337268562
16,115.686682575,159.149100216,201.77004837,160.955346545,213.985733491,164.767424917
17,69.8794272247,91.0679458231,169.038033814,90.3406941978,194.270187494,134.645522862
18,86.0775880268,110.490605565,254.468529912,112.485514444,256.358892124,140.40331257
19,230.287470474,149.953290192,272.053558569,139.21141185,298.504711085,135.904435225
20,65.1327137991,329.352533783,215.152199374,399.292869006,243.930004613,173.25393771
21,78.0296794405,340.731834731,90.7990264783,350.828526497,117.310302906,177.590192295
22,71.2200277856,175.031646172,172.476314482,229.9083737,238.755305682,183.065880635
23,135.279389139,287.851911067,269.78627969,330.923379736,291.790850072,143.455049937
24,269.627957952,193.326659365,264.298434849,163.45824456,248.371996202,116.118991451
25,42.9186713304,124.189584874,233.077209581,150.839683108,203.939069589,104.960327797
26,151.306224802,124.652784164,123.266718337,159.398447596,188.095004026,149.697604827
27,145.363758877,249.997979935,200.599880059,349.285017093,232.706781609,150.058691646
28,122.369091601,185.721698172,197.607856083,175.433305117,278.306416475,113.719747872
29,74.8872282229,336.929964426,244.032413702,364.941883716,277.155858379,195.799517523
30,66.4746524574,239.568373814,172.451572834,323.3387987,162.20152347,176.199783679
31,172.645806068,190.312426998,212.330595712,197.32271499,250.583200425,125.616057447
32,74.1583140902,147.888134749,221.888785856,183.172367138,269.215970779,238.788596688
33,216.782007624,155.32085262,177.804660364,203.819839252,235.421847284,131.634972286
34,86.9985492901,260.000662435,159.509316019,374.482757698,194.537137922,155.512161726
35,80.3957179232,142.315587204,337.376354829,143.759082564,335.639858188,202.991586988
36,191.595217185,297.04423018,241.513548154,306.127482789,246.996391134,171.791144961
37,104.583076957,306.072578765,181.216565696,242.914117523,249.899863661,161.005060367
38,160.365297131,524.208111541,261.424581656,551.68713415,213.747400764,231.947825155
39,101.36620533,277.984527827,173.004221246,262.042752237,175.978868869,176.956244663
40,66.400587227,119.498700106,114.535453619,111.437037766,166.353164301,208.969453159
41,80.1831493174,256.161034917,188.268244767,279.061715143,229.818662299,134.740016918
42,64.5750918723,126.109191763,216.246445306,130.048499003,268.48499634,127.734091483
43,88.297663479,101.573216216,332.461187814,85.4394113223,355.777363997,137.679970991
44,130.950700933,550.485933007,159.654797602,612.804203658,220.920365391,176.009923215
45,29.6096197992,136.099161383,195.928699421,183.904809031,236.096368807,149.201975933
46,83.8875541539,254.427350922,267.492262321,294.602189192,299.973586942,204.384448417
47,77.8367474776,190.878315461,267.70008228,224.669693634,279.033019834,174.604128859
48,130.805294224,108.447473527,127.648323311,119.922301428,157.517217688,107.848506969
