"","Metric","Date","AvgC","AvgT","StdC","StdT","NC","NT"
"1","APlusMissingRate",2016-07-30,0.001268015,0.001194887,0.032245483,0.031108652,1399541,1398634
"2","APlusMissingRate",2016-07-31,0.001009599,0.001019614,0.027973658,0.027814509,1428075,1430307
"3","APlusMissingRate",2016-08-01,0.000808641,0.0008196,0.025331199,0.025384846,2242944,2244158
"4","APlusMissingRate",2016-08-02,0.000797347,0.000772635,0.02510574,0.024460814,2219312,2218947
"5","APlusMissingRate",2016-08-03,0.000701409,0.000687558,0.022859297,0.022422716,2206767,2205546
"6","APlusMissingRate",2016-08-04,0.000708091,0.000699343,0.023073939,0.023012259,2307901,2307627
"7","APlusMissingRate",2016-08-05,0.000889479,0.000892632,0.026706838,0.026638061,2226844,2230201
"8","APlusMissingRate",2016-08-06,0.000937931,0.000910524,0.026785751,0.026346097,1530074,1531944
"9","APlusMissingRate",2016-08-07,0.001219007,0.001283186,0.031514628,0.032395494,1673301,1672955
"10","APlusMissingRate",2016-08-08,0.000642269,0.000640946,0.021707043,0.021679963,2629160,2632841
"11","APlusMissingRate",2016-08-09,0.000993817,0.000957892,0.028764849,0.028083308,2573488,2573400
"12","APlusMissingRate",2016-08-10,0.000882307,0.000903033,0.026554048,0.026922165,2586689,2587346
"13","APlusMissingRate",2016-08-11,0.000787591,0.000791746,0.024626102,0.02465143,2543623,2545881
"14","APlusMissingRate",2016-08-12,0.000774277,0.00074304,0.024033895,0.023653382,2387772,2389272
"15","ATLAWebAnswerCdgFromCacheRate",2016-07-30,0.186215396,0.186738421,0.329162617,0.329415809,1394868,1394008
"16","ATLAWebAnswerCdgFromCacheRate",2016-07-31,0.196902535,0.19648377,0.335300955,0.334832113,1423940,1426130
"17","ATLAWebAnswerCdgFromCacheRate",2016-08-01,0.19852736,0.198763895,0.338377831,0.338409001,2235727,2237165
"18","ATLAWebAnswerCdgFromCacheRate",2016-08-02,0.212140503,0.211874791,0.347413432,0.347202288,2212201,2211889
"19","ATLAWebAnswerCdgFromCacheRate",2016-08-03,0.231600402,0.23125354,0.358704816,0.35833422,2199956,2198693
"20","ATLAWebAnswerCdgFromCacheRate",2016-08-04,0.224947922,0.224945254,0.355073469,0.354980559,2300891,2300651
"21","ATLAWebAnswerCdgFromCacheRate",2016-08-05,0.189816398,0.189734796,0.329728852,0.329521341,2220122,2223565
"22","ATLAWebAnswerCdgFromCacheRate",2016-08-06,0.153846141,0.153660681,0.296440353,0.296177519,1525725,1527712
"23","ATLAWebAnswerCdgFromCacheRate",2016-08-07,0.161418731,0.161927438,0.303579491,0.304036205,1667909,1667654
"24","ATLAWebAnswerCdgFromCacheRate",2016-08-08,0.161989363,0.161790788,0.306734662,0.306391528,2621239,2624970
"25","ATLAWebAnswerCdgFromCacheRate",2016-08-09,0.167188224,0.167553715,0.310328885,0.310500445,2565387,2565334
"26","ATLAWebAnswerCdgFromCacheRate",2016-08-10,0.183706551,0.184028048,0.324538659,0.324610461,2578464,2579296
"27","ATLAWebAnswerCdgFromCacheRate",2016-08-11,0.193436421,0.19353187,0.332836333,0.332741365,2535777,2537860
"28","ATLAWebAnswerCdgFromCacheRate",2016-08-12,0.207159681,0.206843586,0.342991246,0.342545689,2380611,2382176
"29","ATLAWebAnswerFromCacheRate",2016-07-30,0.16091666,0.161362771,0.310878296,0.311179419,1394868,1394008
"30","ATLAWebAnswerFromCacheRate",2016-07-31,0.16930598,0.168772113,0.31693451,0.316375127,1423940,1426130
"31","ATLAWebAnswerFromCacheRate",2016-08-01,0.179279634,0.179566267,0.326452309,0.326507272,2235727,2237165
"32","ATLAWebAnswerFromCacheRate",2016-08-02,0.202331953,0.202006174,0.341848183,0.341591501,2212201,2211889
"33","ATLAWebAnswerFromCacheRate",2016-08-03,0.21766713,0.217315241,0.351020778,0.350652744,2199956,2198693
"34","ATLAWebAnswerFromCacheRate",2016-08-04,0.208567586,0.208544935,0.345508171,0.345387272,2300891,2300651
"35","ATLAWebAnswerFromCacheRate",2016-08-05,0.176015424,0.175920305,0.320241218,0.320010374,2220122,2223565
"36","ATLAWebAnswerFromCacheRate",2016-08-06,0.144079684,0.143786235,0.288404505,0.288011733,1525725,1527712
"37","ATLAWebAnswerFromCacheRate",2016-08-07,0.141765453,0.142295732,0.286602511,0.287067668,1667909,1667654
"38","ATLAWebAnswerFromCacheRate",2016-08-08,0.142909096,0.142689229,0.28946858,0.289020453,2621239,2624970
"39","ATLAWebAnswerFromCacheRate",2016-08-09,0.156006427,0.1563149,0.300923139,0.301057765,2565387,2565334
"40","ATLAWebAnswerFromCacheRate",2016-08-10,0.177074916,0.177357974,0.319867924,0.3199558,2578464,2579296
"41","ATLAWebAnswerFromCacheRate",2016-08-11,0.177808379,0.177884668,0.32119168,0.321135457,2535777,2537860
"42","ATLAWebAnswerFromCacheRate",2016-08-12,0.194942051,0.194719925,0.335542296,0.335217943,2380611,2382176
"43","ATLAWebAnswerIsnFromCacheRate",2016-07-30,0.173739074,0.174311879,0.320996245,0.321401178,1394868,1394008
"44","ATLAWebAnswerIsnFromCacheRate",2016-07-31,0.184417267,0.184043679,0.328202775,0.327838616,1423940,1426130
"45","ATLAWebAnswerIsnFromCacheRate",2016-08-01,0.192774482,0.19319484,0.336053614,0.336168864,2235727,2237165
"46","ATLAWebAnswerIsnFromCacheRate",2016-08-02,0.213373932,0.212895616,0.348650159,0.348266166,2212201,2211889
"47","ATLAWebAnswerIsnFromCacheRate",2016-08-03,0.231688951,0.231283975,0.35930569,0.358925315,2199956,2198693
