,X1-X2
0,4.72815820863
1,24.4568685849
2,33.0722545741
3,16.4311518217
4,32.078311517
5,24.0176350789
6,18.279889649
7,23.6249818107
8,13.3542902642
9,22.181605479
10,4.82403992886
11,36.6023835385
12,13.1435107019
13,19.1825287856
14,7.51725982759
15,38.8130790833
16,13.2486747065
17,9.16812143918
18,12.4750401867
19,33.7073617171
20,18.9171394807
21,6.23981649632
22,11.5440099288
23,46.1382792706
24,9.88632279297
25,11.7218333558
26,14.3982415078
27,30.2996468021
28,16.9813279238
29,4.51932894537
30,21.0553136517
31,17.079860396
32,5.46663830531
33,12.9068603834
34,19.9545794049
35,18.306044728
36,36.2911962371
37,12.4361149438
38,19.9535149513
39,13.6718591571
40,23.3526870135
41,4.2359508257
42,20.4051295952
43,21.4780800435
44,18.7451293142
45,6.2955614042
46,46.245985736
47,10.6229824794
48,4.92006303139
49,4.39414842231
50,6.77437518075
51,4.93534481591
52,31.2068454207
53,29.7293709326
54,8.31724376702
55,28.9987149028
56,10.5538657074
57,22.358623885
58,29.3299177092
59,11.6631798697
60,9.34806553844
61,13.3468647968
62,42.8729687706
63,8.01302334305
64,2.14687280039
65,32.0607854494
66,10.6408979588
67,10.9383463214
68,14.8265540481
69,28.3689446585
70,4.80851937562
71,50.2693790729
72,21.6116424708
73,22.873446926
74,15.0820499943
75,16.4984788239
76,14.4485842503
77,30.2042109795
78,19.3937381038
79,14.1250412611
80,11.4608601548
81,50.5511635105
82,22.6189001982
83,11.9351106988
84,12.1293341419
85,6.97231927287
86,24.1882930369
87,23.8808949523
88,16.3951433531
89,13.1868866577
90,10.0791198882
91,26.3255860868
92,13.9356109688
93,42.2049859609
94,11.6866342195
95,16.9477547874
96,30.0431307868
97,26.6699025239
98,20.9912054989
99,14.9572066243
100,14.6705898224
101,23.271665709
102,49.963888034
103,7.97978328006
104,18.9805720111
105,32.8619719516
106,29.9442218147
107,11.806425075
108,25.3919462023
109,21.4169906896
110,23.1199320504
111,9.84840222602
112,48.6972639219
113,9.09195127316
114,29.9565419934
115,12.4310756528
116,39.2543488295
117,23.6088971405
118,24.0020673081
119,20.5219999457
120,11.3457569583
121,2.48729842444
122,29.8882640342
123,32.9673938445
124,22.6807186401
125,8.27895302731
126,11.5061960893
127,31.9580614765
128,12.4341496841
129,14.0445922059
130,31.5084300933
131,15.8282248779
132,10.0183774497
133,28.4754784968
134,20.475966266
135,16.3604233842
136,29.162016694
137,10.6659151329
138,14.7638535501
139,10.3072509014
140,19.4984265321
141,26.8671010254
142,6.46102506626
143,31.0511380871
144,21.9350465291
145,20.3939506308
146,8.89178789867
147,8.94649459826
148,15.683185436
149,38.0266227279
150,14.4663094508
151,5.14446062363
152,10.0851322168
153,8.34388262957
154,31.6703679613
155,9.99134185846
156,12.1919984522
157,22.5187646791
158,25.2337602739
159,26.7731660998
160,27.6076060001
161,16.3194542652
162,8.12313560981
163,39.8936024837
164,29.7963087492
165,35.8279364308
166,6.45982701451
167,21.2477251467
168,12.9810588326
169,25.9850570508
170,9.39685856416
171,3.89270357233
172,18.7740819221
173,11.7895733102
174,23.3605641219
175,5.80453604052
176,18.8024138146
177,27.6814354327
178,16.3641671247
179,15.7259583106
180,5.18362426087
181,28.2776112763
182,31.6411689669
183,2.3584066142
184,19.3105216822
185,4.21838418962
186,17.8711553628
187,15.0350488779
188,11.2249024775
189,22.3889037023
190,13.1549230298
191,11.745228352
192,30.3637817424
193,40.9582082683
194,15.6471885703
195,19.3816833632
196,28.6548514548
197,9.21127030751
198,15.013298613
199,33.2649035206
200,8.23849719613
201,17.431737623
202,23.2979883584
203,3.03063168645
204,16.1775376305
205,22.4906049513
206,15.0134459408
207,16.3651476999
208,19.8498516613
209,11.9645495939
210,21.813770984
211,19.7919147428
212,23.5862521842
213,20.4923911916
214,16.537226171
215,15.3180371894
216,13.9696497508
217,23.9832142688
218,5.80109731444
219,4.6068713081
220,11.3694998444
221,11.1122982014
222,21.5519191134
223,14.5547677737
224,11.9003460073
225,3.66348768359
226,14.12661239
227,24.4695748811
228,11.3406340408
229,42.5758660847
230,26.5897100057
231,12.9156969665
232,9.07914684289
233,8.86137476694
234,24.7444717458
235,22.6137686889
236,18.6106003804
237,16.4198499605
238,10.9200066729
239,9.52956657794
240,7.58771364936
241,15.9932937957
242,6.48021476361
243,16.841186237
244,37.367396291
245,21.8384265071
246,24.1088488422
247,22.5909795493
248,12.8608309136
249,9.94127671846
250,9.61925306175
251,46.3780498285
252,17.8606395956
253,23.0603072331
254,18.7507833588
255,26.5389362107
256,19.2283840915
257,28.7679662373
258,19.0802466414
259,21.3455557844
260,6.41927884045
261,12.5413633308
262,11.9883619485
263,8.67016925677
264,23.7525962262
265,39.1420188517
266,26.2942141334
267,40.0383572339
268,21.0280874822
269,1.62653991358
270,17.8679898771
271,10.0961329787
272,16.1312058083
273,7.29581722059
274,10.2764300085
275,24.1596527714
276,21.2407079563
277,32.5745101407
278,21.2703666264
279,24.887354343
280,36.5889981928
281,12.2812633796
282,41.4950806091
283,26.0212618549
284,6.38531051592
285,15.7462461962
286,19.1007974634
287,12.3565026206
288,10.5767095567
289,14.1346066438
290,7.3128426872
291,11.8729321653
292,17.4605184868
293,15.3117589992
294,21.1768882419
295,16.6930973439
296,23.7425066501
297,21.6222901054
298,17.0564271973
299,15.2186769147
300,9.90727926832
301,6.61158100449
302,10.9557278787
303,19.1945729382
304,5.17997808029
305,5.6900724993
306,8.41590568713
307,11.7271544102
308,15.02421672
309,4.65755160528
310,6.06366866616
311,7.16983749492
312,5.35578233838
313,19.3670655965
314,8.14058525498
315,9.97270208509
316,44.6397949519
317,10.8874436281
318,16.8699161189
319,31.8860717378
320,27.3852124457
321,12.6650036914
322,4.21994017425
323,36.494063487
324,5.81967654159
325,17.2286057481
326,35.7461536972
327,13.5060779156
328,1.68888433837
329,8.76318719834
330,14.5264089872
331,10.6179942678
332,20.858626688
333,16.3958952544
334,3.97511799091
335,25.580281752
336,11.6169600618
337,16.5721597042
338,7.10432587081
339,13.565932665
340,35.1277616615
341,24.3869383176
342,17.7863408531
343,7.37252366533
344,17.49001397
345,13.4674330788
346,9.60953265229
347,3.87837813617
348,27.3443778446
349,16.4663636201
350,27.5088392367
351,18.1451093159
352,16.4252415907
353,18.4508357082
354,17.7362750417
355,9.5982664748
356,17.2332475098
357,10.4183189816
358,4.25271841708
359,9.39656421405
360,10.807703814
361,3.58216456706
362,25.3244252559
363,21.6008155805
364,20.4865220411
365,30.3253495713
366,23.2797118583
367,37.8835360508
368,12.7200662378
369,13.125404428
370,8.5734509328
371,6.65263305334
372,15.273023138
373,36.5053092396
374,28.1676593925
375,26.9692846955
376,52.8193288229
377,17.7551446562
378,14.3836647984
379,7.91025868833
380,3.80664515272
381,23.4396026469
382,18.0519505278
383,20.1853592324
384,10.5526557524
385,8.73021422256
386,20.2479170191
387,28.0291384725
388,12.5150950625
389,11.7528283588
390,12.5138704116
391,10.9277616072
392,11.2364125264
393,30.4107355067
394,45.4447242272
395,22.2216087244
396,6.07294204214
397,14.3899622126
398,4.70197580997
399,19.9340188839
400,22.2366472475
401,62.0959768906
402,6.87247479655
403,11.0543284443
404,15.2926327864
405,17.632359875
406,13.4456870405
407,14.8794136892
408,22.2514751168
409,6.07388914424
410,29.2851370308
411,16.3174596913
412,16.6987604527
413,16.0806602959
414,21.5555918742
415,6.56212314859
416,16.6349610806
417,9.24498507788
418,7.52954171585
419,23.3167017724
420,28.2987551572
421,18.5943459397
422,52.422090776
423,25.8517189292
424,30.6422680271
425,14.3541116594
426,2.96650697834
427,14.9079565876
428,7.21606564904
429,9.70671263803
430,9.56554906155
431,31.1036159885
432,16.4166685844
433,16.8789005817
434,13.4236354865
435,21.8337053189
436,17.4553872895
437,20.6358852616
438,18.447492804
439,4.60447387893
440,21.6318858604
441,8.80724613727
442,12.1811835408
443,11.385512757
444,5.91476452035
445,25.1709217043
446,17.5297113628
447,21.453464947
448,20.6234631185
449,37.6749606288
450,5.87898324241
451,27.505720172
452,25.2212960826
453,3.57666805473
454,11.6882198078
455,24.2857330648
456,21.5022683156
457,22.1522758425
458,17.1367934158
459,14.2874955134
460,10.0726221996
461,11.6989469731
462,15.978254481
463,14.6279778002
464,6.4098859814
465,18.3182699795
466,8.04010867061
467,15.0695451933
468,18.3704361308
469,2.65998639699
470,31.6385280834
471,7.5831632656
472,37.5422875213
473,19.91774044
474,10.297771452
475,25.0061848405
476,18.0757979221
